prompt,completion
How can I create an orthotropic material with a Python program?,"There is no direct function for creating orthotropic material in the Python High Level Library. However, it is possible for all methods to pass user-defined parameters. Such a material can thus be produced without further ado. This example shows the procedure: from RFEM.enums import * from RFEM.initModel import * from RFEM.BasicObjects.material import Material Model(True, 'Material.rf6') Model.clientModel.service.begin_modification() p = { ""material_type"": ""TYPE_TIMBER"", ""material_model"": ""MODEL_ORTHOTROPIC_2D"", ""application_context"": ""TIMBER_DESIGN"", ""stiffness_modification"": True, ""stiffness_modification_type"": ""STIFFNESS_MODIFICATION_TYPE_DIVISION"" } Material(1, 'C24 | EN 338 :2016-04', params=p) Model.clientModel.service.finish_modification() Model.clientModel.service.close_connection() The custom parameter is first defined as a dictionary p and then params when creating the material. This article shows the possibilities:"
How can I create a multilayer structure with a Python program?,"With SetAddonStatus(Model.clientModel, AddOn.timber_design_active, True) the add-on multi-layer structure is activated first. In the next step, an orthotropic material is created. To do this, it is necessary to use user-defined parameters when creating the material. They are first stored in the dictionary p and then passed as the params parameter. The thickness is created with Thickness.Layers(1, 'CLT', [[0, 1, 0.012, 0.0], [0, 1, 0.010, 90]]). After the number and the name, a nested list is passed as a parameter. Each entry in the list represents a layer. If isotropic material is created, then the list for a layer must contain 3 entries, the type of layer, material number and layer thickness. If the material is orthotropic, as in this case, then the list must also contain a 4th entry, the angle of rotation. Danger! The angle of rotation is specified in DEG and not in RAD as is usually the case. from RFEM.initModel import * from RFEM.BasicObjects.material import Material from RFEM.BasicObjects.thickness import Thickness Model(new_model=True, model_name=""MyModel"") Model.clientModel.service.begin_modification() Model. clientModel.service.delete_all() SetAddonStatus(Model.clientModel, AddOn.timber_design_active, True) addonLst = Model.clientModel.service.get_addon_statuses() addonLst[""multilayer_surfaces_design_active""] = True Model.clientModel.service.set_addon_statuses(addonLst) p = { ""material_type"": ""TYPE_TIMBER"", ""material_model"": ""MODEL_ORTHOTROPIC_2D"", ""application_context"": ""TIMBER_DESIGN"", ""stiffness_modification"": True, ""stiffness_modification_type"": ""STIFFNESS_MODIFICATION_TYPE_DIVISION"" } Material(1, 'CL26E11.8 | Hasslacher' , params=p) Thickness.Layers(1, 'CLT', [[0, 1, 0.012, 0.0], [0, 1, 0.010, 90]]) Model.clientModel.service.finish_modification() Model.clientModel. service.close_connection()"
How do you use the 'bearing force transfer from another model' feature?,"==== Prerequisites ==== Two conditions must be met so that bearing forces can be taken over from other models: # Both models must be in the same project (same project ID) # Both models must have different model IDs. So that models have different IDs, each model must be created via ""File > New..."". Alternatively, an existing model can also be saved as a copy via ""File > Save as..."", this then also has a different ID. The ID's can be viewed in the basic data of a model. ==== Procedure ==== If the prerequisites are met, the check mark ""From support reaction..."" can be activated in the ""Child"" model in the menu for a nodal load. In the associated new tab, the ""mother"" model (model from which the load is to be taken), the load (load case/load combination) and the node of the nodal support must be specified. It should be noted that loads can be applied more than once. The position of the node also does not have to match that in the ""mother"" model. When the load has been applied, the value ""??"" appears first. The correct value is only displayed once the respective load case has been calculated. This calculation also triggers the calculation in the ""mother"" model. ==== Changes in the source model ==== If changes are made in the ""mother"" model, then the load in the ""child"" model is reset to ""??"" set when the ""mother"" model is saved. A recalculation of the load case in the ""child"" model adopts the new values."
I want to account for soil-structure interaction using one of the nonlinear soil material models. - Why does it not make sense to calculate individual load cases with this model?,"The specific soil material models have a variable stiffness that depends, among other things, on the prevailing stress level. In the analysis of a single load case, only this is imposed on the structure and the floor. It does not take into account any stress level from other loads that may be required to obtain and use the correct soil stiffness from the soil material model. The live load load case, for example, will cause different stiffnesses and thus deformations if it is applied as part of a load combination to a system that is stressed by soil self-weight and structure self-weight and structural load than if it is applied as the ""first/single"" load, as described in the analysis of the load case would take place. It therefore makes no sense to analyze soil with the specific soil material models under individual loads/load cases if at least the prevailing soil self-weight is not taken into account."
"I want to hide my area results for a certain range, around the value zero. How can I elegantly solve this in RFEM 6?","If only individual areas in a model are decisive for the design, the evaluation based on the isosurfaces can quickly become confusing. When displaying the results, RFEM 6 offers the option of activating gray areas. In this way, low-load areas are hidden and the spectrum of the color scale only shows the relevant surface areas. To activate it, select the ""Representation type"" -> ""Isosurfaces"" -> ""Gray zone"" area in the lower part of the result navigator and set the check there. Below this, a value between 0.1% and 50% can be selected, to which the gray zone should extend. This percentage value indicates the limits of the gray area, based on the absolute minimum and maximum of the active result variable."
How can I call up the calculation diagrams in RFEM 6 or RSTAB 9 after the calculation has been completed?,"During the calculation, the convergence diagram is displayed in the solver window of RFEM 6 and RSTAB 9. A new main group has been introduced for inserting and editing such calculation diagrams. This is located in the Data navigator below the Loads group. The calculation diagrams can also be called up in the result tables, provided that some have been defined. If you calculate a load case or a combination of several load levels, also activate saving of the results of all in the static analysis settings Load levels. Otherwise, only the results of the highest increment are displayed in the calculation diagram."
Is there a way to output the results of the resistance forces of all zones from RWIND in a table?,"In RWIND you have the option of defining zones and thus obtaining the drag force for these zones. The information is available to you graphically and for each individual zone. This is how you simply keep track of things. For complex structures, it can be helpful to quickly evaluate these results in tabular form. To do this, you can evaluate the results in ParaView. Unzip the RWIND file and open the Sim001_V01_Surface.vtp file in the RWIND_Simulations archive folder in ParaView. Since zones are defined in the RWIND file, you can generate a .csv file with the cell information. This .csv file contains information about the forces in the cells (front and back) related to the global axes. You can use Excel to sum up the forces of the zones and also form a vector. The information in ParaView is in SI units (for the forces [N])."
The geo-zone tool will not load. What can I do?,"Geo-Zone Tool page or content not loading? First, please check whether you are still using outdated cookies or not all necessary cookies. If so, you can quickly delete cookies in Chrome. You can then agree to the necessary cookies. We have had the best experiences with Google Chrome. Try it. After that, the geo-zone tool should work again without any problems."
The cross sections from my imported IFC file are not converted correctly.,"In principle, IFC elements can be selected graphically. If you call up the context menu (click with the right mouse button), you can decide for each element whether it should be converted into a straight/curved bar, a surface or a solid. For the conversion of IFC elements into Dlubal elements (eg Dlubal cross-sections) the necessary information must be available. The following aspects must be checked for this. '''1. Allocation of the Dlubal names in the conversion table''' With the CAD-BIM menu bar you can call up the information on the respective IFC objects via the conversion tables. The information read from the IFC file is displayed in the first table column. Successfully read cross-sections are uniquely assigned to IFC objects. The Dlubal names in the table must be assigned accordingly for the conversion. These can easily be selected from the material and cross-section library. '''2. Cross-section designations cannot be read from the IFC file''' For some imported IFC files, no read cross-sections are displayed in the conversion table. The table column of the external cross-sections is empty. However, a cross-section designation is visible in the properties of the IFC elements. This means that the information about the cross-section is available in the IFC file, but it cannot be read by RFEM. In this case, you cannot carry out a conversion according to point 1. The external cross-sections cannot be added to the conversion table afterwards, as they are not assigned to an IFC element. These IFC elements can first be converted into beams in order to then adjust the cross-section of the beam."
"With my model, it is not possible to design double angles with the steel design add-on. There is always an indication of an invalid cross-section shape.","If it is a composite steel profile, the design for the combination type ""without interaction"" is not possible. However, cross-sections without this property can be analyzed with the add-on."
My model in RFEM 6 / RSTAB 9 is unstable. What could be the cause?,"calculation termination due to an unstable system can have various reasons. On the one hand, it can indicate a ""real"" instability due to system overload, but on the other hand, modeling inaccuracies can also be responsible for this error message. Below is one possible approach to find the cause of the instability. '''1. Control of the modelling''' First it should be checked whether the system is in order from the modeling point of view. For this purpose, it is advisable to use the model controls provided by RFEM 6 / RSTAB 9 (Extras → Model Control). These options can be used, for example, to find and, if necessary, delete identical nodes and overlapping members. You can also edit the structure e.g. B. under pure self-weight in a load case according to the first-order theory. If results are then output, the structure is stable in terms of modeling. If this is not the case, the most common causes are listed below: *'''Wrong definition of supports / lack of supports''' This can lead to instability because the system is not supported in all directions. Therefore it is necessary that the bearing conditions are in balance with the system as well as with the external boundary conditions. Statically underdetermined systems can also lead to calculation aborts due to a lack of boundary conditions. * '''Torsion of members around their own axis''' If members twist around their own axis, i.e. the member is not held around its own axis, this can lead to instabilities. The cause often lies in the settings of the rod end joints. It is possible that torsion joints were introduced both at the beginning and at the end node. * '''Missing connection of bars''' Especially with larger and more complex models, it can quickly happen that some bars are not connected to each other and thus ""float freely in the air"". Forgetting to cross bars that should actually intersect can also lead to instabilities. A remedy is provided by the ""Crossing, not connected members"" model check, which searches for members that cross but do not have a common node at the intersection. * '''No common knot''' The knots are apparently in the same place, but on closer inspection they differ minimally from each other. Frequent causes are CAD imports, which can be cleaned up using the model control. * '''Creation of a chain of hinges''' Too many member end hinges at a node can cause a chain of hinges, which leads to a calculation termination. Only n-1 joints with the same degree of freedom related to the global coordinate system may be defined per node, where ""n"" is the number of connected members. The same applies to line hinges. '''2. Checking the bracing''' Missing bracing also leads to aborted calculations due to instability. Therefore, it should always be checked whether the supporting structure is sufficiently stiffened in all directions. '''3. Numerical problems ''' The following example is given on this point. It is an articulated frame, which is reinforced by tension rods. Due to the shortening of the leg as a result of the vertical loads, the tension rods receive small compressive forces in the first calculation run. They will be removed from the system (since only train can be picked up). In the second calculation run, the model is then unstable without these tension rods. There are several ways to solve this problem. You can give the tension members a prestress (member load) to “eliminate” the small compressive forces, assign a small stiffness to the members, or have the members removed one by one in the calculation. The calculation setting is automated in RSTAB 9, in RFEM 6 this can be optionally activated. '''4. Finding the Cause of an Instability''' * '''Automatic Model Check with Graphical Output''' In order to obtain a graphic representation of the cause of an instability, the add-on Structural Stability for RFEM 6 / RSTAB 9[https://www.dlubal. com/de/products/add-ons-for-rfem-6-and-rstab-9/additional-analyses/structural-stability]. Supposedly unstable systems can be calculated with the option ""Calculate without loading for proof of instability by eigenmodes"". An eigenvalue analysis is carried out using the structural data so that the instability of the affected component is graphically displayed as a result. * '''Branch problem''' If load cases or load combinations can be calculated according to the 1st order theory and the calculation only stops from the 2nd order theory, then there is a stability problem (branch load factor less than 1.00). The critical load factor specifies the factor by which the load must be multiplied in order for the model to become unstable (e.g. buckle) under the associated load. It follows: A critical load factor smaller than 1.00 means that the system is unstable. Only a positive critical load factor greater than 1.00 allows the statement that the load due to the specified axial forces multiplied by this factor leads to buckling failure of the stable system. In order to be able to find the ""weak point"", the following procedure is recommended, which uses the add-on Structural Stability for RFEM 6 / RSTAB 9 https://www.dlubal.com/en/products/add-ons-fuer-rfem-6 -and-rstab-9/additional-analyses/structure-stability. First, the load of the affected load combination should be reduced until the load combination becomes stable. The load factor in the calculation parameters of the load combination serves as an aid. This also corresponds to a manual determination of the critical load factor if the add-on structure stability https://www.dlubal.com/de/produkte/add-ons-fuer-rfem-6-und-rstab-9/zusaetzliche-analysen/strukturstabilitaet is not available. For purely linear structural elements, it can be sufficient to calculate the load combination according to the first-order theory and select it directly in the additional module. Subsequently, based on this load combination, the buckling or buckling figure can be calculated and graphically displayed in the corresponding add-on module. The ""weak point"" in the system is identified through the graphical output and can then be specifically optimized."
"When importing a cross-section from RSECTION 1, I get an error message about the version. What can I do?","This error message is displayed when you use a newer version of RSECTION 1 than RFEM 6. Both versions should be at the same level to ensure the data compatibility of both programs, otherwise new functions from RSECTION 1 are not yet available in RFEM 6. Make sure both versions are current."
My old model is suddenly unstable. What could be the reason?,"As of RFEM 5.27, there was an adjustment in the solver that should recognize articulated chains better, which can cause models in the newer versions to become unstable. ''Adjustments in the solver regarding the consideration of line hinges - hinge chains (2 surfaces each with a line hinge for rotation around x on the same line) now lead to instabilities'' Check your model with regard to * double line hinges * line hinges at free surface edges"
No automatic load combinations are generated. What can I do?,"First check whether you have activated the combination assistant and also assigned it to a design situation. Then check the settings of the combination assistant. For automatically generated load combinations, the 'User-defined action combinations' option must be deactivated."
I get error 1327: Calculation failed. What can I do?,"In many cases, error 1327 describes discrepancies that occur when the data is passed to the solver. You can act as follows: # Check whether you are using the current customer version. Alternatively, download the current customer version from the extranet. # Check if there is enough free space on your hard drive C:\. # Contact support with the file with no results and describe when the error occurs."
The output of the extreme values is not displayed. Where can I activate the max/min information?,"If you no longer see the max/min information, please check if you have enabled it in the navigator - Results."
would like to determine and consider the stiffness in a line support using a fictitious wall. Why is this option greyed out for me?,"The ""Stiffness using fictitious wall"" option is only available if the local axis system of the supported line has been selected, not for the global coordinate system. As soon as ""Local xyz"" is selected under the coordinate system and the option is activated, the ""Stiffness using fictitious wall"" tab is available."
"When exporting my model from RFEM to RWIND, I get the message ""Warning No. 7731 | Reading the logger file failed"". What can I do to start the simulation in RWIND?","When using couplings/rigid members or members with a cross-section of the dummy rigid type, problems often occur when generating the model in RWIND. The program aborts with the warning message. You still have the option of carrying out a wind simulation for such structures. To do this, deactivate the visibility for the objects concerned, eg via the view navigator. Then the ""Only export active objects"" option must be activated in the ""Simulate and generate wind loads"" dialog under the ""Settings"" tab. The model can then either be opened in RWIND or simulated directly in the background."
How do you animate a load increase or a construction process?,"By defining load levels, the defined load level can be increased step by step, with iteration for each load level until equilibrium is found. This option is particularly useful for analysis according to Theory II. or III. Order relevant, since finding equilibrium often turns out to be difficult in the case of large deformations. A load increase can basically be defined in the static analysis settings. To do this, the static analysis settings must be opened and then only the number of load steps increased. In order to display the intermediate results of the individual load levels in addition to the final load factor, the intermediate results can be made visible with the ""Save results of all load increases"" function. In order to display these load steps as animations, there is an option in the result navigator to start an animation. This animation element can also be found for several list boxes in the program. In this way, the load cases and load combinations as well as the list boxes in the table can be displayed as animations."
Where can I change the license?,"With the modern online licensing system, the licenses for RFEM, RSTAB and all other programs of the Dlubal structural analysis software can be distributed all over the world. The license manager provides an overview of the existing licenses in the program. The full versions are marked with a green dot, the test versions with a blue dot and the demo versions with a red dot. In the license manager you can also see which license is used by which user (light green dot) or which license is available for use and can be selected (dark green dot). The existing licenses can also be viewed and the corresponding products downloaded via the license configuration details in the Dlubal account."
How do the different node mesh refinement options differ?,"In general, the generation of the FE mesh can be influenced with a nodal mesh refinement, so that an adapted discretization can be achieved in the refinement area around a node. Two mesh refinement types are available for the geometric shape of the refinement area: * Circular * Rectangular With a circular type, the size of the circular refinement area must be specified using a radius, and both the inner and outer desired length must be defined. The outer FE length usually corresponds to the global mesh size. In the case of a rectangular type, the ""side length"" of the cube-shaped compression area and the ""inner target FE length"" are specified. For circular densifications, the ""FE length arrangement"" can be used to control how the mesh size of the FE mesh expands from the inside to the outside. A distinction is made between the following options: * '''Radial''': The compression area expands evenly from the inside outwards in the form of concentric circles. * '''Incremental''': Incremental compression works on the same principle as radial compression. The difference, however, is that the refinement does not take place in the form of concentric circles, but in sections in areas with the same mesh size. As many square elements as possible are used. * '''Combined''': The gradient here is a combination of radial and step adjustment. The refinement basically behaves like a stepwise refinement. However, if there is a circular or arcuate line that lies at the center of the refinement, a radial refinement is applied."
How does the geo-zone tool determine the earthquake data according to DIN EN 1998-1?,"The raw data comes from DIN EN 1998-1/NA:2021-07 including additional digital content. The GPS coordinates and the response acceleration SaP,R in the plateau area of the response spectrum are available in the form of an Excel spreadsheet. It contains the GPS coordinates for latitude and longitude in decimal degrees with an accuracy of 0.1°. The geo zone tool also works with a grid size of 0.1°x0.1°. The values from the additional digital content are set as the center of each cell. The result of the search query is then taken from the corresponding cell. Intermediate values are not interpolated or extrapolated. It can therefore happen that the color range does not match the result from the cell, since the curves do not follow the grid but are on their own layer. This layer therefore has no influence on the results and only serves to provide a better overview. Example: Location: Ludolf Camphausen Street in Cologne As can be seen in the picture, the location is in the cell with a center point at 6.9° east longitude and 50.9° north latitude. Thus, the searched location receives a response acceleration of 1.7144 m/s², since this is not interpolated."
Why can't I define a rotation when defining layers?,"If no angle can be defined in the 'Rotation' column, an isotropic material model was selected for the material, in which the stiffnesses are identical in all directions anyway and it is not necessary to define an angle. If you use materials with anisotropic behavior (e.g. wood), you must ensure that the material model 'Orthotropic | Linear Elastic (Surfaces)' is selected. Note: The material model 'Orthotropic | '''wood''' | 'Linear elastic (surfaces)' cannot yet be used in combination with the 'Layers' thickness type. After switching to the orthotropic material model, the individual layers can be rotated accordingly."
How can I effectively define line hinges on multiple surfaces?,"If line hinges are to be defined on several boundary lines of surfaces at the same time, the following procedure is recommended: # Create a new line hinge in the data navigator under 'Types for lines' or in the menu 'Insert → Types for lines → Line hinges → Dialog' # Degrees of freedom as desired define # Use the 'Pick function' to select the desired surface and then the desired lines * Do not confirm the function with 'OK', but select additional surfaces and lines with the '+' sign # Only after all line joints have been assigned do the function with ' OK' confirm"
Can the printout report also be opened in another PDF reader?,"To open the printout report with a PDF reader other than Adobe Reader, the desired reader must be set as the default. However, it must be noted that the selected PDF reader supports 3D content so that any 3D graphics that may be present are displayed correctly. To change the default PDF reader, the following workflow can be followed: # Open System Preferences. # Go to ""Apps"", then ""Default apps"" and ""Select default apps by file type"". # Now you can scroll to the file extension "".pdf"" in the alphabetically sorted list and then change the default PDF reader. The printout report is then exported to the desired PDF reader."
What effects does the accuracy setting have on the model?,"In order to eliminate discrepancies in the model caused by data imports from CAD programs or by modeling, RFEM 6 offers the option of defining model tolerances for nodes, lines, surfaces and directions in the input data. In this sense, it is determined from which tolerance the nodes, lines, areas and distances are to be evaluated and summarized as identical. These model tolerances are taken into account in the program on the one hand when individual model parameters are modified using the ""Move/Copy"" function and on the other hand when the ""Drag&Drop"" function is used. However, if the position of the model parameters is defined via the table, the specified tolerances can be fallen below as desired. (Note: In the video, the model tolerance was set somewhat coarser so that the effects of this setting become clearer. Normally, a model tolerance of 0.0005 m is preset by the program.) In RFEM 5, such discrepancies in the model could be automatically corrected using the ""Regenerate model"" function "" be eliminated."
"If I use the search function of the cross-section database, all sorts of similar series of cross-sections are displayed. How can I restrict the search results to the exact cross-section designation?","If you enter a cross-section designation in the name field of the ""New cross-section"" dialog, all cross-section series that contain the search term are suggested. For example, when entering HEA, cross-sections from the HEAA or HEAT series are also suggested. If you want to ensure that the search returns only exact hits, enter quotation marks at the beginning of your search term. The search term for a HEA profile is then: ""HEA"
How can I limit the display of the value scale in RFEM 6 and RSTAB 9 to positive values?,"To set the value scale to a defined range (eg only positive values), double-click in the color scale of the control panel. In the following dialog, change the reference from ""Max/Min"" to ""Limits"" and set the limit values manually (e.g. Min = 0.0). In order to completely hide the excluded value ranges in the graphic, move the slider to the right of the value scale up one level at the minimum (see Illus. 01)."
"I use the Auto Connect Lines/Bars feature when modeling. However, RFEM 6 always creates a connection node of the ""on member"" type. How do I have to proceed in order to split the bars automatically?","In RFEM 6 and RSTAB 9, the program creates a node of the ""on member/on line"" type on the existing line or member by default. However, if you would like to split the existing line or bar automatically, you have the option of changing this in the program options. To do this, go to the ""Options"" > ""Program Options..."" menu. In the following dialog, the Connect ""By internal nodes"" option can be deactivated."
"How can I enable or disable the ""drag and drop"" function?","Moving and copying objects directly in the viewport can be a useful way to work more effectively. However, if you want to deactivate this function, you can do this via the context menu. To do this, click the right mouse button in the view window and find the entry ""Disable drag and drop"" in the list."
How can temporary bearings be defined in RFEM6 for the form-finding process?,"The process for creating temporary storage has changed from RFEM5 to RFEM6. IRFEM5 these were still created via the storage function. in RFEM6 there are two different options. The first possibility is the definition of structural modifications, it is easier with the add-on analysis of construction stages RF-FORMFINDING (more in) by considering the construction process. A more detailed explanation of the definition of temporary storage was given in the online manual. A detailed description of the entire form-finding process can also be found here. A free webinar can also be viewed."
How do I create an imperfection based on a eigenmode in RFEM 6?,"To create an imperfection based on a mode shape, the is required. With this, mode shapes can be determined for a load case or a load combination based on its normal force state. The resulting mode shape can be selected and scaled after creating an imperfection case. The procedure can be seen in the video."
